state_abbreviation,state_name,report_date,state_expanded_medicaid,preliminary_updated,final_report,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_c640,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_9919,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application__fo_e28a,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations__footnotes,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment__footnotes,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_enrollment,total_medicaid_enrollment__footnotes,total_chip_enrollment,total_chip_enrollment__footnotes
GA,Georgia,2020-03-01,N,U,Y,51442,,,,51442,,27234,,940,,28174,,1285501,,1853679,,1637768,,215911,
GA,Georgia,2020-04-01,N,U,Y,51949,,,,51949,,47797,,1740,,49537,,1315786,,1895954,,1683443,,212511,
GA,Georgia,2020-04-01,N,P,N,51949,,,,51949,,47797,,1740,,49537,,1293844,,1864871,,1655065,,209806,
GA,Georgia,2020-05-01,N,P,N,39659,,,,39659,,20941,,628,,21569,,1314495,,1889278,,1681625,,207653,
GA,Georgia,2020-05-01,N,U,Y,39659,,,,39659,,20941,,628,,21569,,1342615,,1929582,,1709833,,219749,
GA,Georgia,2020-06-01,N,P,N,37742,,,,37742,,17556,,994,,18550,,1343840,,1928703,,1708464,,220239,
GA,Georgia,2020-06-01,N,U,Y,37742,,,,37742,,17556,,994,,18550,,1355429,,1945955,,1723592,,222363,
GA,Georgia,2020-07-01,N,U,Y,39227,,,,39227,,16817,,2086,,18903,,1373561,,1970507,,1745838,,224669,
GA,Georgia,2020-07-01,N,P,N,39227,,,,39227,,16817,,2086,,18903,,1360468,,1951725,,1729931,,221794,
GA,Georgia,2020-08-01,N,P,N,35428,,,,35428,,15686,,2152,,17838,,1379567,,1976277,,1750697,,225580,
GA,Georgia,2020-08-01,N,U,Y,35428,,,,35428,,15686,,2152,,17838,,1394414,,1998686,,1770366,,228320,
GA,Georgia,2020-09-01,N,U,Y,35680,,,,35680,,14408,,1917,,16325,,1411530,,2022154,,1791397,,230757,
GA,Georgia,2020-09-01,N,P,N,35680,,,,35680,,14408,,1917,,16325,,1399493,,2004162,,1775878,,228284,
GA,Georgia,2020-10-01,N,P,N,35613,,,,35613,,14165,,1961,,16126,,1414801,,2025805,,1794516,,231289,
GA,Georgia,2020-10-01,N,U,Y,35613,,,,35613,,14165,,1961,,16126,,1425892,,2042331,,1808278,,234053,
GA,Georgia,2020-11-01,N,P,N,34440,,,,34440,,12767,,2812,,15579,,1429441,,2045920,,1809982,,235938,
GA,Georgia,2020-11-01,N,U,Y,34440,,,,34440,,12767,,2812,,15579,,1444580,,2067533,,1826659,,240874,
GA,Georgia,2020-12-01,N,U,Y,35705,,,,35705,,15576,,3917,,19493,,1463575,,2093853,,1845581,,248272,
GA,Georgia,2020-12-01,N,P,N,35705,,,,35705,,15576,,3917,,19493,,1447747,,2070918,,1827794,,243124,
GA,Georgia,2021-01-01,N,P,N,34699,,,,34699,,14199,,3672,,17871,,1462382,,2092114,,1843372,,248742,
GA,Georgia,2021-01-01,N,U,Y,34699,,,,34699,,14199,,3672,,17871,,1473812,,2109497,,1857748,,251749,
GA,Georgia,2021-02-01,N,P,N,31125,,,,31125,,12891,,1904,,14795,,1474875,,2109967,,1858004,,251963,
GA,Georgia,2021-02-01,N,U,Y,31125,,,,31125,,12891,,1904,,14795,,1488443,,2129693,,1872068,,257625,
GA,Georgia,2021-03-01,N,U,Y,33154,,,,33154,,11548,,1878,,13426,,1498841,,2146602,,1887223,,259379,
GA,Georgia,2021-03-01,N,P,N,33154,,,,33154,,11548,,1878,,13426,,1488404,,2130268,,1872861,,257407,
GA,Georgia,2021-04-01,N,P,N,29782,,,,29782,,10714,,1619,,12333,,1495997,,2143845,,1881881,,261964,
GA,Georgia,2021-04-01,N,U,Y,29782,,,,29782,,10714,,1619,,12333,,1507013,,2160406,,1895803,,264603,
GA,Georgia,2021-05-01,N,P,Y,27346,,,,27346,,10757,,1761,,12518,,1506836,,2159944,,1895196,,264748,
HI,Hawaii,2013-09-01,Y,U,Y,,,,,,,,,,,,,,,288357,,,,,
HI,Hawaii,2017-06-01,Y,P,N,4786,,,,4786,,7923,,383,,8306,,145389,,347998,,324213,,23785,
HI,Hawaii,2017-06-01,Y,U,Y,4786,,,,4786,,7923,,383,,8306,,145515,,348125,,324337,,23788,
HI,Hawaii,2017-07-01,Y,P,N,4649,,,,4649,,7445,,403,,7848,,144691,,346198,,322319,,23879,
HI,Hawaii,2017-07-01,Y,U,Y,4649,,,,4649,,7445,,403,,7848,,144928,,346435,,322552,,23883,
HI,Hawaii,2017-08-01,Y,P,N,5157,,,,5157,,8302,,470,,8772,,144081,,346340,,322389,,23951,
HI,Hawaii,2017-08-01,Y,U,Y,5157,,,,5157,,8302,,470,,8772,,144241,,346500,,322546,,23954,
HI,Hawaii,2017-09-01,Y,P,N,4227,,,,4227,,7228,,376,,7604,,143374,,343675,,319673,,24002,
HI,Hawaii,2017-09-01,Y,U,Y,4227,,,,4227,,7228,,376,,7604,,143573,,343874,,319868,,24006,
HI,Hawaii,2017-10-01,Y,P,N,4900,,,,4900,,7219,,392,,7611,,144022,,344830,,320584,,24246,
HI,Hawaii,2017-10-01,Y,U,Y,4900,,,,4900,,7219,,392,,7611,,144220,,345028,,320779,,24249,
HI,Hawaii,2017-11-01,Y,P,N,5040,,,,5040,,8089,,500,,8589,,144869,,347439,,322780,,24659,
HI,Hawaii,2017-11-01,Y,U,Y,5040,,,,5040,,8089,,500,,8589,,145035,,347605,,322945,,24660,
HI,Hawaii,2017-12-01,Y,P,N,4291,,,,4291,,7767,,449,,8216,,144316,,346587,,321922,,24665,
HI,Hawaii,2017-12-01,Y,U,Y,4291,,,,4291,,7767,,449,,8216,,144476,,346747,,322079,,24668,
HI,Hawaii,2018-01-01,Y,P,N,4552,,,,4552,,7530,,394,,7924,,145277,,349172,,324300,,24872,
HI,Hawaii,2018-01-01,Y,U,Y,4552,,,,4552,,7530,,394,,7924,,145466,,349361,,324486,,24875,
HI,Hawaii,2018-02-01,Y,P,N,4056,,,,4056,,6465,,360,,6825,,145836,,350304,,325323,,24981,
HI,Hawaii,2018-02-01,Y,U,Y,4056,,,,4056,,6465,,360,,6825,,145994,,350462,,325479,,24983,
HI,Hawaii,2018-03-01,Y,U,Y,3999,,,,3999,,4612,,243,,4855,,145762,,348352,,323455,,24897,
HI,Hawaii,2018-03-01,Y,P,N,3999,,,,3999,,4612,,243,,4855,,145570,,348160,,323265,,24895,
HI,Hawaii,2018-04-01,Y,P,N,4212,,,,4212,,4911,,248,,5159,,144252,,344788,,320115,,24673,
HI,Hawaii,2018-04-01,Y,U,Y,4212,,,,4212,,4911,,248,,5159,,144476,,345012,,320336,,24676,
HI,Hawaii,2018-05-01,Y,P,N,4481,,,,4481,,5151,,311,,5462,,141869,,339723,,315343,,24380,
HI,Hawaii,2018-05-01,Y,U,Y,4481,,,,4481,,5151,,311,,5462,,142091,,339945,,315564,,24381,
HI,Hawaii,2018-06-01,Y,U,Y,4791,,,,4791,,5636,,437,,6073,,142298,,338832,,314075,,24757,
HI,Hawaii,2018-06-01,Y,P,N,4791,,,,4791,,5636,,437,,6073,,142130,,338664,,313913,,24751,
HI,Hawaii,2018-07-01,Y,P,N,5007,,,,5007,,5789,,398,,6187,,142268,,337502,,312619,,24883,
HI,Hawaii,2018-07-01,Y,U,Y,5007,,,,5007,,5789,,398,,6187,,142484,,337722,,312832,,24890,
HI,Hawaii,2018-08-01,Y,P,N,4786,,,,4786,,6096,,429,,6525,,142346,,336594,,311625,,24969,
HI,Hawaii,2018-08-01,Y,U,Y,4786,,,,4786,,6096,,429,,6525,,142547,,336795,,311822,,24973,
HI,Hawaii,2018-09-01,Y,P,N,4589,,,,4589,,5079,,363,,5442,,141860,,334473,,309460,,25013,
HI,Hawaii,2018-09-01,Y,U,Y,4589,,,,4589,,5079,,363,,5442,,142065,,334678,,309661,,25017,
HI,Hawaii,2018-10-01,Y,P,N,5316,,,,5316,,5709,,399,,6108,,141208,,332723,,307731,,24992,
HI,Hawaii,2018-10-01,Y,U,Y,5316,,,,5316,,5709,,399,,6108,,141425,,332940,,307944,,24996,
HI,Hawaii,2018-11-01,Y,U,Y,5020,,,,5020,,6126,,585,,6711,,140749,,331712,,306577,,25135,
HI,Hawaii,2018-11-01,Y,P,N,5020,,,,5020,,6126,,585,,6711,,140574,,331537,,306410,,25127,
HI,Hawaii,2018-12-01,Y,P,N,4822,,,,4822,,6099,,474,,6573,,140162,,330845,,305653,,25192,
HI,Hawaii,2018-12-01,Y,U,Y,4822,,,,4822,,6099,,474,,6573,,140392,,331075,,305872,,25203,
HI,Hawaii,2019-01-01,Y,U,Y,5248,,,,5248,,6290,,452,,6742,,140372,,330410,,305133,,25277,
HI,Hawaii,2019-01-01,Y,P,N,5248,,,,5248,,6290,,452,,6742,,140206,,330244,,304970,,25274,
HI,Hawaii,2019-02-01,Y,U,Y,4600,,,,4600,,5096,,360,,5456,,141014,,331889,,306351,,25538,
HI,Hawaii,2019-02-01,Y,P,N,4600,,,,4600,,5096,,360,,5456,,140819,,331694,,306164,,25530,
HI,Hawaii,2019-03-01,Y,U,Y,4995,,,,4995,,5089,,350,,5439,,140249,,329688,,304337,,25351,
HI,Hawaii,2019-03-01,Y,P,N,4995,,,,4995,,5089,,350,,5439,,140071,,329510,,304163,,25347,
HI,Hawaii,2019-04-01,Y,P,N,5043,,,,5043,,5431,,351,,5782,,140265,,329704,,304118,,25586,
HI,Hawaii,2019-04-01,Y,U,Y,5043,,,,5043,,5431,,351,,5782,,140426,,329868,,304277,,25591,
HI,Hawaii,2019-05-01,Y,P,N,4842,,,,4842,,5631,,379,,6010,,140105,,329264,,303847,,25417,
HI,Hawaii,2019-05-01,Y,U,Y,4842,,,,4842,,5631,,379,,6010,,140263,,329422,,304001,,25421,
HI,Hawaii,2019-06-01,Y,U,Y,4511,,,,4511,,5180,,377,,5557,,140097,,329106,,303831,,25275,
HI,Hawaii,2019-06-01,Y,P,N,4511,,,,4511,,5180,,377,,5557,,139890,,328899,,303630,,25269,
HI,Hawaii,2019-07-01,Y,P,N,5199,,,,5199,,5537,,402,,5939,,139725,,328220,,302966,,25254,
HI,Hawaii,2019-07-01,Y,U,Y,5199,,,,5199,,5537,,402,,5939,,139898,,328393,,303135,,25258,
HI,Hawaii,2019-08-01,Y,U,Y,5271,,,,5271,,6186,,484,,6670,,140037,,328923,,303347,,25576,
HI,Hawaii,2019-08-01,Y,P,N,5271,,,,5271,,6186,,484,,6670,,139829,,328713,,303140,,25573,
HI,Hawaii,2019-09-01,Y,U,Y,4886,,,,4886,,5630,,386,,6016,,139707,,327674,,302368,,25306,
HI,Hawaii,2019-09-01,Y,P,N,4886,,,,4886,,5630,,386,,6016,,139519,,327486,,302188,,25298,
HI,Hawaii,2019-10-01,Y,P,N,4218,,,,4218,,5863,,388,,6251,,139337,,327043,,301682,,25361,
HI,Hawaii,2019-10-01,Y,U,Y,4218,,,,4218,,5863,,388,,6251,,139530,,327236,,301869,,25367,
HI,Hawaii,2019-11-01,Y,P,N,4979,,,,4979,,5831,,513,,6344,,138971,,326580,,301078,,25502,
HI,Hawaii,2019-11-01,Y,U,Y,4979,,,,4979,,5831,,513,,6344,,139175,,326784,,301271,,25513,
HI,Hawaii,2019-12-01,Y,P,N,4719,,,,4719,,6107,,530,,6637,,138935,,326149,,300576,,25573,
HI,Hawaii,2019-12-01,Y,U,Y,4719,,,,4719,,6107,,530,,6637,,139123,,326337,,300760,,25577,
HI,Hawaii,2020-01-01,Y,U,Y,4911,,,,4911,,6025,,439,,6464,,138953,,325833,,300212,,25621,
HI,Hawaii,2020-01-01,Y,P,N,4911,,,,4911,,6025,,439,,6464,,138794,,325674,,300057,,25617,
HI,Hawaii,2020-02-01,Y,U,Y,4277,,,,4277,,4842,,372,,5214,,138826,,325667,,299919,,25748,
HI,Hawaii,2020-02-01,Y,P,N,4277,,,,4277,,4842,,372,,5214,,138662,,325503,,299766,,25737,
HI,Hawaii,2020-03-01,Y,P,N,6410,,,,6410,,6365,,394,,6759,,139164,,327668,,301851,,25817,
HI,Hawaii,2020-03-01,Y,U,Y,6410,,,,6410,,6365,,394,,6759,,139345,,327849,,302027,,25822,
HI,Hawaii,2020-04-01,Y,U,Y,7098,,,,7098,,5308,,141,,5449,,142028,,338323,,312884,,25439,
HI,Hawaii,2020-04-01,Y,P,N,7098,,,,7098,,5308,,141,,5449,,141912,,338207,,312771,,25436,
HI,Hawaii,2020-05-01,Y,P,N,5826,,,,5826,,4163,,148,,4311,,144154,,346791,,321668,,25123,
HI,Hawaii,2020-05-01,Y,U,Y,5826,,,,5826,,4163,,148,,4311,,144285,,346922,,321797,,25125,
HI,Hawaii,2020-06-01,Y,U,Y,6100,,,,6100,,3905,,107,,4012,,145471,,351439,,326443,,24996,
HI,Hawaii,2020-06-01,Y,P,N,6100,,,,6100,,3905,,107,,4012,,145369,,351337,,326342,,24995,
HI,Hawaii,2020-07-01,Y,U,Y,6438,,,,6438,,4082,,174,,4256,,147242,,357858,,332613,,25245,
HI,Hawaii,2020-07-01,Y,P,N,6438,,,,6438,,4082,,174,,4256,,147142,,357758,,332515,,25243,
HI,Hawaii,2020-08-01,Y,P,N,6253,,,,6253,,4066,,185,,4251,,148454,,362958,,337553,,25405,
HI,Hawaii,2020-08-01,Y,U,Y,6253,,,,6253,,4066,,185,,4251,,148594,,363098,,337691,,25407,
HI,Hawaii,2020-09-01,Y,U,Y,6302,,,,6302,,4223,,160,,4383,,149904,,368093,,342700,,25393,
HI,Hawaii,2020-09-01,Y,P,N,6302,,,,6302,,4223,,160,,4383,,149771,,367960,,342569,,25391,
HI,Hawaii,2020-10-01,Y,P,N,6087,,,,6087,,4049,,154,,4203,,151011,,373263,,347802,,25461,
HI,Hawaii,2020-10-01,Y,U,Y,6087,,,,6087,,4049,,154,,4203,,151155,,373407,,347944,,25463,
HI,Hawaii,2020-11-01,Y,U,Y,5986,,,,5986,,5021,,237,,5258,,152673,,379981,,354314,,25667,
HI,Hawaii,2020-11-01,Y,P,N,5986,,,,5986,,5021,,237,,5258,,152510,,379818,,354152,,25666,
HI,Hawaii,2020-12-01,Y,U,Y,5720,,,,5720,,5320,,254,,5574,,153876,,385887,,360244,,25643,
HI,Hawaii,2020-12-01,Y,P,N,5720,,,,5720,,5320,,254,,5574,,153766,,385777,,360136,,25641,
HI,Hawaii,2021-01-01,Y,U,Y,5184,,,,5184,,4268,,142,,4410,,154670,,390771,,365205,,25566,
HI,Hawaii,2021-01-01,Y,P,N,5184,,,,5184,,4268,,142,,4410,,154553,,390654,,365089,,25565,
HI,Hawaii,2021-02-01,Y,P,N,4700,,,,4700,,3838,,92,,3930,,154996,,394789,,369409,,25380,
HI,Hawaii,2021-02-01,Y,U,Y,4700,,,,4700,,3838,,92,,3930,,155142,,394936,,369556,,25380,
HI,Hawaii,2021-03-01,Y,U,Y,4458,,,,4458,,4624,,120,,4744,,155776,,400953,,375629,,25324,
HI,Hawaii,2021-03-01,Y,P,N,4458,,,,4458,,4624,,120,,4744,,155646,,400823,,375499,,25324,
HI,Hawaii,2021-04-01,Y,U,Y,4131,,,,4131,,3706,,122,,3828,,156328,,404530,,379349,,25181,
HI,Hawaii,2021-04-01,Y,P,N,4131,,,,4131,,3706,,122,,3828,,156241,,404443,,379262,,25181,
HI,Hawaii,2021-05-01,Y,P,Y,3441,,,,3441,,3178,,123,,3301,,156596,,406876,,382429,,24447,
ID,Idaho,2013-09-01,Y,U,Y,,,,,,,,,,,,,,,238150,,,,,
ID,Idaho,2017-06-01,Y,P,N,7443,,,,7443,,5030,,287,,5317,,212885,,293696,,271189,,22507,
ID,Idaho,2017-06-01,Y,U,Y,7395,,,,7395,,5075,,288,,5363,,213554,,294792,,272228,,22564,
ID,Idaho,2017-07-01,Y,P,N,6556,,,,6556,,4941,,244,,5185,,212510,,293207,,270909,,22298,
ID,Idaho,2017-07-01,Y,U,Y,6880,,,,6880,,5099,,252,,5351,,213399,,294571,,272084,,22487,
ID,Idaho,2017-08-01,Y,U,Y,7865,,,,7865,,5936,,367,,6303,,214899,,296356,,273867,,22489,
ID,Idaho,2017-08-01,Y,P,N,7907,,,,7907,,5992,,367,,6359,,214142,,295186,,272772,,22414,
ID,Idaho,2017-09-01,Y,P,N,7013,,,,7013,,5495,,277,,5772,,214743,,295810,,273621,,22189,
ID,Idaho,2017-09-01,Y,U,Y,6978,,,,6978,,5465,,277,,5742,,215524,,297066,,274809,,22257,
ID,Idaho,2017-10-01,Y,U,Y,9008,,,,9008,,11710,,792,,12502,,216065,,297445,,275246,,22199,
ID,Idaho,2017-10-01,Y,P,N,9172,,,,9172,,12931,,856,,13787,,215258,,296117,,273973,,22144,
ID,Idaho,2017-11-01,Y,P,N,14664,,,,14664,,6108,,538,,6646,,215053,,295607,,273568,,22039,
ID,Idaho,2017-11-01,Y,U,Y,14436,,,,14436,,5802,,501,,6303,,215872,,296910,,274802,,22108,
ID,Idaho,2017-12-01,Y,P,N,17274,,,,17274,,7124,,628,,7752,,215162,,295591,,273664,,21927,
ID,Idaho,2017-12-01,Y,U,Y,17139,,,,17139,,7093,,626,,7719,,216479,,297688,,275693,,21995,
ID,Idaho,2018-01-01,Y,P,N,10791,,,,10791,,8552,,841,,9393,,204980,,284494,,259043,,25451,
ID,Idaho,2018-01-01,Y,U,Y,10741,,,,10741,,8497,,838,,9335,,205996,,286089,,260538,,25551,
ID,Idaho,2018-02-01,Y,P,N,8322,,,,8322,,7457,,804,,8261,,203484,,282592,,257626,,24966,
ID,Idaho,2018-02-01,Y,U,Y,8274,,,,8274,,7409,,804,,8213,,204455,,284104,,259032,,25072,
ID,Idaho,2018-03-01,Y,U,Y,10725,,,,10725,,9787,,2190,,11977,,201416,,277803,,252527,,25276,
ID,Idaho,2018-03-01,Y,P,N,11316,,,,11316,,9811,,2192,,12003,,200429,,276323,,251150,,25173,
ID,Idaho,2018-04-01,Y,P,N,8530,,,,8530,,7840,,935,,8775,,192050,,267990,,243656,,24334,
ID,Idaho,2018-04-01,Y,U,Y,8507,,,,8507,,7801,,934,,8735,,192977,,269430,,244994,,24436,
ID,Idaho,2018-05-01,Y,U,Y,8070,,,,8070,,6724,,607,,7331,,194596,,271305,,246820,,24485,
ID,Idaho,2018-05-01,Y,P,N,8098,,,,8098,,6724,,607,,7331,,193693,,269909,,245506,,24403,
ID,Idaho,2018-06-01,Y,U,Y,7259,,,,7259,,6458,,525,,6983,,196088,,273002,,248502,,24500,
ID,Idaho,2018-06-01,Y,P,N,7287,,,,7287,,6480,,525,,7005,,195235,,271705,,247296,,24409,
ID,Idaho,2018-07-01,Y,P,N,7561,,,,7561,,6117,,435,,6552,,196551,,273384,,249029,,24355,
ID,Idaho,2018-07-01,Y,U,Y,7529,,,,7529,,6093,,435,,6528,,197414,,274741,,250297,,24444,
ID,Idaho,2018-08-01,Y,P,N,8316,,,,8316,,7071,,487,,7558,,198414,,275783,,251430,,24353,
ID,Idaho,2018-08-01,Y,U,Y,8294,,,,8294,,7024,,487,,7511,,199171,,276978,,252550,,24428,
ID,Idaho,2018-09-01,Y,P,N,7142,,,,7142,,6253,,435,,6688,,199418,,276941,,252668,,24273,
ID,Idaho,2018-09-01,Y,U,Y,7122,,,,7122,,6213,,435,,6648,,200340,,278382,,254013,,24369,
ID,Idaho,2018-10-01,Y,P,N,9046,,,,9046,,15006,,1151,,16157,,199845,,277352,,253042,,24310,
ID,Idaho,2018-10-01,Y,U,Y,8986,,,,8986,,13273,,1049,,14322,,200757,,278870,,254492,,24378,
ID,Idaho,2018-11-01,Y,P,N,13265,,,,13265,,6305,,529,,6834,,201184,,279162,,254999,,24163,
ID,Idaho,2018-11-01,Y,U,Y,13135,,,,13135,,6109,,503,,6612,,201899,,280331,,256110,,24221,
ID,Idaho,2018-12-01,Y,P,N,14719,,,,14719,,7613,,676,,8289,,201729,,279575,,255628,,23947,
ID,Idaho,2018-12-01,Y,U,Y,14639,,,,14639,,7604,,676,,8280,,202303,,280570,,256565,,24005,
ID,Idaho,2019-01-01,Y,P,N,10852,,,,10852,,8272,,1039,,9311,,190063,,266351,,239712,,26639,
ID,Idaho,2019-01-01,Y,U,Y,10819,,,,10819,,8233,,1039,,9272,,191108,,267944,,241187,,26757,
ID,Idaho,2019-02-01,Y,P,N,7458,,,,7458,,5784,,564,,6348,,191731,,268417,,241990,,26427,
ID,Idaho,2019-02-01,Y,U,Y,7428,,,,7428,,5736,,563,,6299,,192703,,269916,,243379,,26537,
ID,Idaho,2019-03-01,Y,P,N,7714,,,,7714,,6340,,591,,6931,,192718,,269689,,243277,,26412,
ID,Idaho,2019-03-01,Y,U,Y,7693,,,,7693,,6319,,589,,6908,,193675,,271203,,244691,,26512,
ID,Idaho,2019-04-01,Y,P,N,7847,,,,7847,,6203,,465,,6668,,193830,,271163,,245033,,26130,
ID,Idaho,2019-04-01,Y,U,Y,7827,,,,7827,,6179,,465,,6644,,194704,,272589,,246377,,26212,
ID,Idaho,2019-05-01,Y,P,N,7434,,,,7434,,5408,,375,,5783,,194866,,272552,,246706,,25846,
ID,Idaho,2019-05-01,Y,U,Y,7417,,,,7417,,5369,,374,,5743,,195677,,273856,,247939,,25917,
ID,Idaho,2019-06-01,Y,U,Y,7063,,,,7063,,5272,,332,,5604,,196683,,274946,,249346,,25600,
ID,Idaho,2019-06-01,Y,P,N,7079,,,,7079,,5307,,339,,5646,,195692,,273379,,247855,,25524,
ID,Idaho,2019-07-01,Y,U,Y,12649,,,,12649,,9452,,1198,,10650,,187915,,265493,,239694,,25799,
ID,Idaho,2019-07-01,Y,P,N,12676,,,,12676,,9501,,1198,,10699,,186636,,263697,,238100,,25597,
ID,Idaho,2019-08-01,Y,U,Y,12515,,,,12515,,10182,,1179,,11361,,183224,,259850,,233930,,25920,
ID,Idaho,2019-08-01,Y,P,N,12545,,,,12545,,10234,,1180,,11414,,182061,,258209,,232437,,25772,
ID,Idaho,2019-09-01,Y,P,N,10695,,,,10695,,8525,,739,,9264,,184550,,261045,,235155,,25890,
ID,Idaho,2019-09-01,Y,U,Y,10671,,,,10671,,8491,,739,,9230,,185620,,262616,,236614,,26002,
ID,Idaho,2019-10-01,Y,U,Y,12752,,,,12752,,11819,,971,,12790,,187533,,264965,,238986,,25979,
ID,Idaho,2019-10-01,Y,P,N,12809,,,,12809,,12601,,1032,,13633,,186514,,263397,,237547,,25850,
ID,Idaho,2019-11-01,Y,P,N,18572,,,,18572,,14617,,1843,,16460,,187953,,265065,,239148,,25917,
ID,Idaho,2019-11-01,Y,U,Y,18472,,,,18472,,12275,,1729,,14004,,189091,,266732,,240676,,26056,
ID,Idaho,2019-12-01,Y,P,N,19673,,,,19673,,8339,,839,,9178,,189044,,266030,,240084,,25946,
ID,Idaho,2019-12-01,Y,U,Y,19471,,,,19471,,8308,,839,,9147,,190135,,267602,,241549,,26053,
ID,Idaho,2020-01-01,Y,P,N,20449,,,,20449,,21398,,2314,,23712,,173233,,313122,,285354,,27768,
ID,Idaho,2020-01-01,Y,U,Y,20404,,,,20404,,21398,,2314,,23712,,173233,,313122,,285354,,27768,
ID,Idaho,2020-02-01,Y,U,Y,12045,,,,12045,,15040,,1392,,16432,,175309,,319534,,291745,,27789,
ID,Idaho,2020-02-01,Y,P,N,12071,,,,12071,,15040,,1392,,16432,,175309,,319534,,291745,,27789,
ID,Idaho,2020-03-01,Y,P,N,11312,,,,11312,,13263,,847,,14110,,177091,,324506,,296824,,27682,
ID,Idaho,2020-03-01,Y,U,Y,11277,,,,11277,,13202,,847,,14049,,177196,,325353,,298022,,27331,
ID,Idaho,2020-04-01,Y,U,Y,10274,,,,10274,,13957,,666,,14623,,179778,,332920,,305509,,27411,
ID,Idaho,2020-04-01,Y,P,N,10290,,,,10290,,14019,,673,,14692,,178988,,331199,,303868,,27331,
ID,Idaho,2020-05-01,Y,P,N,8167,,,,8167,,8915,,348,,9263,,180008,,335685,,309175,,26510,
ID,Idaho,2020-05-01,Y,U,Y,8154,,,,8154,,8871,,346,,9217,,180965,,337725,,311105,,26620,
ID,Idaho,2020-06-01,Y,P,N,8854,,,,8854,,8801,,376,,9177,,181363,,340742,,314253,,26489,
ID,Idaho,2020-06-01,Y,U,Y,8838,,,,8838,,8760,,375,,9135,,182090,,342341,,315855,,26486,
ID,Idaho,2020-07-01,Y,U,Y,9272,,,,9272,,8940,,359,,9299,,183847,,347777,,320907,,26870,
ID,Idaho,2020-07-01,Y,P,N,9288,,,,9288,,8990,,359,,9349,,182886,,345793,,319045,,26748,
ID,Idaho,2020-08-01,Y,U,Y,8964,,,,8964,,8658,,365,,9023,,185886,,354061,,326839,,27222,
ID,Idaho,2020-08-01,Y,P,N,8992,,,,8992,,8699,,367,,9066,,184698,,351597,,324494,,27103,
ID,Idaho,2020-09-01,Y,P,N,9054,,,,9054,,8778,,398,,9176,,186440,,357346,,330277,,27069,
ID,Idaho,2020-09-01,Y,U,Y,9041,,,,9041,,8757,,431,,9188,,187177,,359001,,331920,,27081,
ID,Idaho,2020-10-01,Y,U,Y,15567,,,,15567,,13303,,807,,14110,,188454,,363581,,336485,,27096,
ID,Idaho,2020-10-01,Y,P,N,15895,,,,15895,,13386,,619,,14005,,187427,,361596,,334737,,26859,
ID,Idaho,2020-11-01,Y,P,N,11838,,,,11838,,8781,,430,,9211,,193586,,371288,,344245,,27043,
ID,Idaho,2020-11-01,Y,U,Y,11799,,,,11799,,8721,,53,,8774,,194786,,373786,,346626,,27160,
ID,Idaho,2020-12-01,Y,P,N,14444,,,,14444,,12695,,640,,13335,,193751,,373553,,346649,,26904,
ID,Idaho,2020-12-01,Y,U,Y,14388,,,,14388,,12676,,1227,,13903,,195654,,376688,,348775,,27913,
ID,Idaho,2021-01-01,Y,U,Y,9169,,,,9169,,8809,,2401,,11210,,197159,,383589,,354382,,29207,
ID,Idaho,2021-01-01,Y,P,N,9195,,,,9195,,8821,,1814,,10635,,196143,,381402,,352262,,29140,
ID,Idaho,2021-02-01,Y,U,Y,8222,,,,8222,,7685,,340,,8025,,197984,,386821,,357508,,29313,
ID,Idaho,2021-02-01,Y,P,N,8250,,,,8250,,7703,,340,,8043,,196816,,384416,,355209,,29207,
ID,Idaho,2021-03-01,Y,P,N,10258,,,,10258,,8232,,746,,8978,,198543,,389440,,359725,,29715,
ID,Idaho,2021-03-01,Y,U,Y,10233,,,,10233,,8207,,746,,8953,,199536,,391548,,361626,,29922,
ID,Idaho,2021-04-01,Y,P,N,10259,,,,10259,,7567,,318,,7885,,199511,,393355,,362765,,30590,
ID,Idaho,2021-04-01,Y,U,Y,10233,,,,10233,,7514,,318,,7832,,200822,,395586,,364507,,31079,
ID,Idaho,2021-05-01,Y,P,Y,7931,,,,7931,,6804,,347,,7151,,199271,,394436,,363357,,31079,
IL,Illinois,2013-09-01,Y,U,Y,,,,,,,,,,,,,,,2626943,,,,,
IL,Illinois,2017-06-01,Y,P,N,68813,,,,68813,,43628,,13251,,56879,,1420184,,3046336,,2797074,,249262,
IL,Illinois,2017-06-01,Y,U,Y,68813,,,,68813,,43628,,13251,,56879,,1436185,,3075710,,2824233,,251477,
IL,Illinois,2017-07-01,Y,U,Y,67016,,,,67016,,38361,,11994,,50355,,1431681,,3073670,,2820285,,253385,
